"Rank","unitid","CONTACTED? (Y/N)","DATE OF CONTACT","RESPONSE? (Y/N/NO-RESPONSE)","IF NO, REASON? (OPEN RESPONSE)"
583,"139658","","","",""
584,"452045","","","",""
585,"238759","","","",""
586,"173799","","","",""
587,"137096","","","",""
588,"121150","","","",""
589,"202648","","","",""
590,"230010","","","",""
591,"125471","","","",""
592,"162122","","","",""
593,"134097","","","",""
594,"421540","","","",""
595,"161253","","","",""
596,"204185","","","",""
597,"231174","","","",""
598,"112826","","","",""
599,"136950","","","",""
600,"201195","","","",""
601,"234030","","","",""
602,"227757","","","",""
603,"180151","","","",""
604,"214625","","","",""
605,"182795","","","",""
606,"375735","","","",""
607,"129534","","","",""
608,"231873","","","",""
609,"126614","","","",""
610,"200280","","","",""
611,"245999","","","",""
612,"105349","","","",""
613,"212197","","","",""
614,"141811","","","",""
615,"240444","","","",""
616,"428019","","","",""
617,"222983","","","",""
618,"164270","","","",""
619,"204662","","","",""
620,"231059","","","",""
621,"161004","","","",""
622,"146612","","","",""
623,"203580","","","",""
624,"236939","","","",""
625,"215062","","","",""
626,"172608","","","",""
627,"194222","","","",""
628,"164580","","","",""
629,"192448","","","",""
630,"130590","","","",""
631,"218706","","","",""
632,"228246","","","",""
633,"235316","","","",""
634,"233338","","","",""
635,"192712","","","",""
636,"125727","","","",""
637,"487667","","","",""
638,"169442","","","",""
639,"163204","","","",""
640,"164872","","","",""
641,"117690","","","",""
642,"217402","","","",""
643,"126580","","","",""
644,"392354","","","",""
645,"122205","","","",""
646,"384254","","","",""
647,"239008","","","",""
648,"141796","","","",""
649,"174358","","","",""
650,"204936","","","",""
651,"168263","","","",""
652,"137476","","","",""
653,"240657","","","",""
654,"136659","","","",""
655,"144564","","","",""
656,"180081","","","",""
657,"189705","","","",""
658,"125499","","","",""
659,"165334","","","",""
660,"172963","","","",""
661,"209825","","","",""
662,"180212","","","",""
663,"167996","","","",""
664,"220640","","","",""
665,"192703","","","",""
666,"461962","","","",""
667,"232423","","","",""
668,"229799","","","",""
669,"154907","","","",""
670,"219976","","","",""
671,"122506","","","",""
672,"192819","","","",""
673,"489201","","","",""
674,"120290","","","",""
675,"174491","","","",""
676,"223320","","","",""
677,"165529","","","",""
678,"170301","","","",""
679,"131469","","","",""
680,"130943","","","",""
681,"240666","","","",""
682,"122612","","","",""
683,"232575","","","",""
684,"181002","","","",""
685,"166054","","","",""
686,"236595","","","",""
687,"137087","","","",""
688,"188526","","","",""
689,"240268","","","",""
690,"207069","","","",""
691,"165662","","","",""
692,"245625","","","",""
693,"139861","","","",""
694,"100706","","","",""
695,"213996","","","",""
696,"200022","","","",""
697,"138479","","","",""
698,"451848","","","",""
699,"168148","","","",""
700,"490054","","","",""
701,"167358","","","",""
702,"215947","","","",""
703,"155210","","","",""
704,"223922","","","",""
705,"148131","","","",""
706,"153524","","","",""
707,"214689","","","",""
708,"183099","","","",""
709,"216339","","","",""
710,"181394","","","",""
711,"198419","","","",""
712,"201645","","","",""
713,"171483","","","",""
714,"133809","","","",""
715,"215655","","","",""
716,"188003","","","",""
717,"173160","","","",""
718,"214795","","","",""
719,"188137","","","",""
720,"183743","","","",""
721,"221351","","","",""
722,"487603","","","",""
723,"152567","","","",""
724,"418205","","","",""
725,"260947","","","",""
726,"219471","","","",""
727,"234076","","","",""
728,"377555","","","",""
729,"445115","","","",""
730,"488934","","","",""
731,"168281","","","",""
732,"176080","","","",""
733,"197197","","","",""
734,"216010","","","",""
735,"136491","","","",""
736,"164924","","","",""
737,"375762","","","",""
738,"233310","","","",""
739,"196042","","","",""
740,"112260","","","",""
741,"215743","","","",""
742,"149639","","","",""
743,"162928","","","",""
744,"214829","","","",""
745,"142285","","","",""
746,"111948","","","",""
747,"133492","","","",""
748,"233921","","","",""
749,"243780","","","",""
750,"114947","","","",""
751,"111896","","","",""
752,"131283","","","",""
753,"217518","","","",""
754,"154642","","","",""
755,"115409","","","",""
756,"179946","","","",""
757,"209056","","","",""
758,"151306","","","",""
759,"375726","","","",""
760,"210739","","","",""
761,"236072","","","",""
762,"420459","","","",""
763,"144467","","","",""
764,"207971","","","",""
765,"178244","","","",""
766,"217819","","","",""
767,"456560","","","",""
768,"196866","","","",""
769,"215284","","","",""
770,"240596","","","",""
771,"199892","","","",""
772,"203678","","","",""
773,"375656","","","",""
774,"215770","","","",""
775,"163046","","","",""
776,"438267","","","",""
777,"234669","","","",""
778,"175272","","","",""
779,"123484","","","",""
780,"104151","","","",""
781,"462035","","","",""
782,"173902","","","",""
783,"166489","","","",""
784,"231165","","","",""
785,"190099","","","",""
786,"135294","","","",""
787,"213543","","","",""
788,"131496","","","",""
789,"196097","","","",""
790,"488226","","","",""
791,"122791","","","",""
792,"160977","","","",""
793,"262466","","","",""
794,"122931","","","",""
795,"184782","","","",""
796,"204024","","","",""
797,"165936","","","",""
798,"142559","","","",""
799,"166027","","","",""
800,"479956","","","",""
801,"161086","","","",""
802,"150163","","","",""
803,"481128","","","",""
804,"169327","","","",""
805,"144050","","","",""
806,"172699","","","",""
807,"212106","","","",""
808,"236328","","","",""
809,"130226","","","",""
810,"206330","","","",""
811,"230737","","","",""
812,"218070","","","",""
813,"146348","","","",""
814,"187903","","","",""
815,"180595","","","",""
816,"490267","","","",""
817,"118347","","","",""
818,"230418","","","",""
819,"164988","","","",""
820,"461148","","","",""
821,"171492","","","",""
822,"214175","","","",""
823,"165699","","","",""
824,"211440","","","",""
825,"208415","","","",""
826,"200341","","","",""
827,"160755","","","",""
828,"141015","","","",""
829,"262165","","","",""
830,"245838","","","",""
831,"230977","","","",""
832,"230816","","","",""
833,"117724","","","",""
834,"203845","","","",""
835,"173993","","","",""
836,"105668","","","",""
837,"200217","","","",""
838,"218441","","","",""
839,"223816","","","",""
840,"384412","","","",""
841,"196088","","","",""
842,"237312","","","",""
843,"128902","","","",""
844,"112385","","","",""
845,"126678","","","",""
846,"202480","","","",""
847,"200800","","","",""
848,"446774","","","",""
849,"178721","","","",""
850,"405748","","","",""
851,"175078","","","",""
852,"211291","","","",""
853,"212009","","","",""
854,"196680","","","",""
855,"365198","","","",""
856,"232681","","","",""
857,"202763","","","",""
858,"365480","","","",""
859,"195526","","","",""
860,"228875","","","",""
861,"219143","","","",""
862,"201034","","","",""
863,"198905","","","",""
864,"461528","","","",""
865,"179159","","","",""
866,"421559","","","",""
867,"179867","","","",""
868,"216597","","","",""
869,"166513","","","",""
870,"131159","","","",""
871,"219709","","","",""
872,"110680","","","",""
873,"231624","","","",""
874,"482705","","","",""
875,"136303","","","",""
876,"156648","","","",""
877,"439190","","","",""
878,"118693","","","",""
879,"216931","","","",""
880,"152080","","","",""
881,"119058","","","",""
882,"150774","","","",""
883,"167057","","","",""
884,"130253","","","",""
885,"211893","","","",""
886,"204945","","","",""
887,"167260","","","",""
888,"375744","","","",""
889,"161518","","","",""
890,"128771","","","",""
891,"129242","","","",""
892,"118772","","","",""
893,"187046","","","",""
894,"213385","","","",""
895,"102632","","","",""
896,"138488","","","",""
897,"199847","","","",""
898,"155335","","","",""
899,"403469","","","",""
900,"220321","","","",""
901,"182306","","","",""
902,"183239","","","",""
903,"201104","","","",""
904,"164739","","","",""
905,"234207","","","",""
906,"155496","","","",""
907,"237057","","","",""
908,"193609","","","",""
909,"434973","","","",""
910,"168254","","","",""
911,"228787","","","",""
912,"236887","","","",""
913,"203535","","","",""
914,"428000","","","",""
915,"484640","","","",""
916,"190008","","","",""
917,"214713","","","",""
918,"217165","","","",""
919,"123952","","","",""
920,"486965","","","",""
921,"173416","","","",""
922,"434584","","","",""
923,"245652","","","",""
924,"129774","","","",""
925,"208026","","","",""
926,"155201","","","",""
927,"179043","","","",""
928,"214704","","","",""
929,"204501","","","",""
930,"441982","","","",""
931,"208053","","","",""
932,"198695","","","",""
933,"437723","","","",""
934,"110404","","","",""
935,"207458","","","",""
936,"221847","","","",""
937,"445267","","","",""
938,"399212","","","",""
939,"140951","","","",""
940,"172033","","","",""
941,"240462","","","",""
942,"365374","","","",""
943,"174507","","","",""
944,"364548","","","",""
945,"188261","","","",""
946,"446808","","","",""
947,"106342","","","",""
948,"230490","","","",""
949,"111434","","","",""
950,"450049","","","",""
951,"448248","","","",""
952,"114716","","","",""
953,"407489","","","",""
954,"154697","","","",""
955,"197151","","","",""
956,"164748","","","",""
957,"158088","","","",""
958,"214698","","","",""
959,"121619","","","",""
960,"219596","","","",""
961,"237950","","","",""
962,"147369","","","",""
963,"102580","","","",""
964,"237136","","","",""
965,"198516","","","",""
966,"246895","","","",""
967,"140827","","","",""
968,"232566","","","",""
969,"449384","","","",""
970,"139755","","","",""
971,"475398","","","",""
972,"214731","","","",""
973,"105899","","","",""
974,"192040","","","",""
975,"214670","","","",""
976,"137856","","","",""
977,"114628","","","",""
978,"441414","","","",""
979,"485342","","","",""
980,"418339","","","",""
981,"190372","","","",""
982,"222628","","","",""
983,"138372","","","",""
984,"443340","","","",""
985,"221333","","","",""
986,"175157","","","",""
987,"214591","","","",""
988,"481191","","","",""
989,"490124","","","",""
990,"407610","","","",""
991,"451583","","","",""
992,"488776","","","",""
993,"221582","","","",""
994,"450933","","","",""
995,"449339","","","",""
996,"102049","","","",""
997,"221102","","","",""
998,"248606","","","",""
999,"217493","","","",""
1000,"214740","","","",""
1001,"106102","","","",""
1002,"139205","","","",""
1003,"230162","","","",""
1004,"178369","","","",""
1005,"217536","","","",""
1006,"182458","","","",""
1007,"219189","","","",""
1008,"194578","","","",""
1009,"476355","","","",""
1010,"234359","","","",""
1011,"204981","","","",""
1012,"192970","","","",""
1013,"450979","","","",""
1014,"486372","","","",""
1015,"110468","","","",""
1016,"383084","","","",""
1017,"483805","","","",""
1018,"420042","","","",""
1019,"484765","","","",""
1020,"220279","","","",""
1021,"461324","","","",""
1022,"137120","","","",""
1023,"407601","","","",""
1024,"127714","","","",""
1025,"104425","","","",""
1026,"440819","","","",""
1027,"475723","","","",""
1028,"117672","","","",""
1029,"382063","","","",""
1030,"485519","","","",""
1031,"230931","","","",""
1032,"418320","","","",""
1033,"247649","","","",""
1034,"195003","","","",""
1035,"482228","","","",""
1036,"173708","","","",""
1037,"194824","","","",""
1038,"236382","","","",""
1039,"154721","","","",""
1040,"221494","","","",""
